=== CFG Evaluation ===
Run	CFG	FID	IS	CLIP	RefCLIP
1	1	183.81	6.14	0.6846	0.6284
1	3	168.26	6.77	0.7842	0.6919
1	7	170.41	6.47	0.8027	0.6992
1	10	174.46	6.69	0.8032	0.7031
1	20	191.72	5.95	0.8037	0.7002
2	1	188.52	6.45	0.6924	0.6299
2	3	172.10	6.91	0.7852	0.6987
2	7	172.64	6.93	0.8042	0.7090
2	10	177.07	6.93	0.8057	0.7070
2	20	196.21	6.28	0.8057	0.7041
3	1	188.90	5.91	0.6890	0.6230
3	3	171.52	6.84	0.7773	0.6865
3	7	171.76	6.60	0.7969	0.6978
3	10	177.54	6.06	0.8003	0.6987
3	20	193.17	5.61	0.7974	0.6860
4	1	177.66	6.21	0.6943	0.6328
4	3	164.22	6.77	0.7798	0.6938
4	7	170.90	7.28	0.8022	0.7041
4	10	175.12	6.46	0.8027	0.7012
4	20	195.51	6.36	0.8071	0.7007
5	1	187.27	5.66	0.6851	0.6235
5	3	168.04	7.04	0.7803	0.6943
5	7	168.64	6.87	0.7998	0.7061
5	10	175.11	6.64	0.8042	0.7036
5	20	193.88	5.63	0.7983	0.6968

=== Step Evaluation ===
Run	Steps	FID	IS	CLIP	RefCLIP
1	10	178.37	6.30	0.7734	0.6865
1	20	170.22	6.60	0.8003	0.7036
1	50	170.41	6.37	0.8027	0.6992
1	100	169.86	6.84	0.7974	0.7036
1	200	172.29	6.77	0.7998	0.7017
1	500	173.86	7.25	0.8032	0.7041
2	10	182.94	6.34	0.7759	0.6880
2	20	174.38	7.34	0.8032	0.7080
2	50	172.64	7.12	0.8042	0.7090
2	100	171.61	7.12	0.8071	0.7065
2	200	172.48	7.20	0.8066	0.7085
2	500	172.74	7.01	0.8037	0.7061
3	10	183.19	6.20	0.7729	0.6768
3	20	173.73	6.73	0.7954	0.6934
3	50	171.76	6.62	0.7969	0.6978
3	100	172.71	6.96	0.7998	0.6948
3	200	171.98	6.80	0.8018	0.6973
3	500	171.39	6.64	0.7993	0.6978
4	10	176.80	6.05	0.7729	0.6909
4	20	170.48	7.39	0.7983	0.7007
4	50	170.90	7.20	0.8022	0.7041
4	100	171.41	7.17	0.7988	0.7031
4	200	172.01	7.36	0.8003	0.7041
4	500	173.37	7.17	0.7998	0.7046
5	10	177.93	5.76	0.7715	0.6899
5	20	171.43	7.11	0.7979	0.7041
5	50	168.64	6.77	0.7998	0.7061
5	100	169.73	6.36	0.7974	0.7017
5	200	170.27	6.49	0.7993	0.7026
5	500	169.78	6.64	0.7979	0.7026
